監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.050,2015-02-01 23:25
三芝,SHANGI,0.061,2015-02-01 23:20
石崩山,SHIHBENGSHAN,0.068,2015-02-01 23:25
茂林,MAOLIN,0.050,2015-02-01 23:25
金山,CHINSHAN,0.049,2015-02-01 23:25
野柳,YEHLIU,0.054,2015-02-01 23:25
大鵬,TAPERNG,0.068,2015-02-01 23:20
陽明山,YANGMINSHAN,0.057,2015-02-01 23:25
大坪,TAPING,0.067,2015-02-01 23:20
萬里,WANLI,0.073,2015-02-01 23:25
台北,TAIPEI,0.056,2015-02-01 23:20
宜蘭,ILAN,0.062,2015-02-01 23:20
龍潭,LUNGTAN,0.051,2015-02-01 23:20
台中,TAICHUNG,0.069,2015-02-01 23:20
台東,TAITUNG,0.055,2015-02-01 23:20
高雄,KAOHSIUNG,0.058,2015-02-01 23:25
恆春,HENGCHUN,0.070,2015-02-01 23:25
龍泉,LUNGCHUAN,0.055,2015-02-01 23:25
大光,TAKUANG,0.050,2015-02-01 23:20
墾丁,KENTING,0.053,2015-02-01 23:20
後壁湖,HOUBIHU,0.055,2015-02-01 23:25
澳底,AODI,0.052,2015-02-01 23:25
貢寮,GONGLIAO,0.051,2015-02-01 23:25
阿里山,ALISHAN,0.117,2015-02-01 23:25
金門,KINMEN,0.084,2015-02-01 23:25
蘭嶼,LANYU,0.041,2015-02-01 23:25
台南,TAINAN,0.059,2015-02-01 23:25
龍門,LUNGMEN,0.052,2015-02-01 23:25
雙溪,SHUANGSI,0.063,2015-02-01 23:25
三港,SANGANG,0.060,2015-02-01 23:25
新竹,HSINCHU,0.051,2015-02-01 23:25
花蓮,HUALINE,0.054,2015-02-01 23:25
澎湖,PENGHU,0.050,2015-02-01 23:25
馬祖,MATZU,0.050,2015-02-01 23:25
滿州,MANJHOU,0.046,2015-01-31 07:20
板橋,BANCIAO,0.070,2015-02-01 23:25
屏東市,PINGTONG,0.046,2015-02-01 23:20
基隆,KEELUNG,0.060,2015-02-01 23:20
頭城,TOUCHENG,0.053,2015-02-01 23:25
竹北,JHUBEI,0.047,2015-02-01 23:25
苗栗,MIAOLI,0.045,2015-02-01 23:25
南投,NANTOU,0.050,2015-02-01 23:20
彰化,CHANGHUA,0.067,2015-02-01 23:20
雲林,YUNLIN,0.054,2015-02-01 23:25
嘉義,CHIAYI,0.048,2015-02-01 23:20
