監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.051,2015-01-28 09:00
三芝,SHANGI,0.074,2015-01-28 08:55
石崩山,SHIHBENGSHAN,0.068,2015-01-28 09:00
茂林,MAOLIN,0.051,2015-01-28 09:00
金山,CHINSHAN,0.048,2015-01-28 09:00
野柳,YEHLIU,0.055,2015-01-28 09:00
大鵬,TAPERNG,0.065,2015-01-28 08:55
陽明山,YANGMINSHAN,0.057,2015-01-28 09:00
大坪,TAPING,0.088,2015-01-28 08:55
萬里,WANLI,0.073,2015-01-28 09:00
台北,TAIPEI,0.057,2015-01-28 08:55
宜蘭,ILAN,0.066,2015-01-28 08:55
龍潭,LUNGTAN,0.050,2015-01-28 09:00
台中,TAICHUNG,0.071,2015-01-28 08:55
台東,TAITUNG,0.058,2015-01-27 12:50
高雄,KAOHSIUNG,0.058,2015-01-28 09:00
恆春,HENGCHUN,0.070,2015-01-28 09:00
龍泉,LUNGCHUAN,0.061,2015-01-28 09:00
大光,TAKUANG,0.052,2015-01-28 08:55
墾丁,KENTING,0.054,2015-01-28 08:55
後壁湖,HOUBIHU,0.057,2015-01-28 09:00
澳底,AODI,0.051,2015-01-28 09:00
貢寮,GONGLIAO,0.053,2015-01-28 09:00
阿里山,ALISHAN,0.100,2015-01-28 09:00
金門,KINMEN,0.080,2015-01-28 09:00
蘭嶼,LANYU,0.041,2015-01-24 04:45
台南,TAINAN,0.062,2015-01-28 08:55
龍門,LUNGMEN,0.055,2015-01-28 09:00
雙溪,SHUANGSI,0.065,2015-01-28 09:00
三港,SANGANG,0.071,2015-01-28 08:55
新竹,HSINCHU,0.054,2015-01-28 09:00
花蓮,HUALINE,0.057,2015-01-28 09:00
澎湖,PENGHU,0.055,2015-01-28 09:00
馬祖,MATZU,0.051,2015-01-28 09:00
滿州,MANJHOU,0.051,2015-01-26 16:50
板橋,BANCIAO,0.069,2015-01-28 08:55
屏東市,PINGTONG,0.049,2015-01-28 08:55
基隆,KEELUNG,0.057,2015-01-28 08:55
頭城,TOUCHENG,0.055,2015-01-28 09:00
竹北,JHUBEI,0.053,2015-01-28 08:55
苗栗,MIAOLI,0.045,2015-01-28 09:00
南投,NANTOU,0.052,2015-01-28 08:55
彰化,CHANGHUA,0.060,2015-01-28 08:55
雲林,YUNLIN,0.055,2015-01-28 09:00
嘉義,CHIAYI,0.046,2015-01-28 08:55
