監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.058,2015-04-12 11:55
三芝,SHANGI,0.060,2015-04-12 11:50
石崩山,SHIHBENGSHAN,0.076,2015-04-12 11:50
茂林,MAOLIN,0.056,2015-04-12 11:50
金山,CHINSHAN,0.051,2015-04-12 11:55
野柳,YEHLIU,0.056,2015-04-12 11:55
大鵬,TAPERNG,0.071,2015-04-12 11:50
陽明山,YANGMINSHAN,0.064,2015-04-12 11:55
大坪,TAPING,0.066,2015-04-12 11:50
萬里,WANLI,0.074,2015-04-12 11:55
台北,TAIPEI,0.058,2015-04-12 11:50
宜蘭,ILAN,0.062,2015-04-12 11:50
龍潭,LUNGTAN,0.052,2015-04-12 11:50
台中,TAICHUNG,0.069,2015-04-12 11:50
台東,TAITUNG,0.051,2015-04-12 11:50
高雄,KAOHSIUNG,0.063,2015-04-12 11:55
恆春,HENGCHUN,0.072,2015-04-12 11:50
龍泉,LUNGCHUAN,0.053,2015-04-12 11:55
大光,TAKUANG,0.052,2015-04-12 11:50
墾丁,KENTING,0.053,2015-04-12 11:50
後壁湖,HOUBIHU,0.058,2015-04-12 11:50
澳底,AODI,0.051,2015-04-12 11:55
貢寮,GONGLIAO,0.047,2015-04-12 11:55
阿里山,ALISHAN,0.099,2015-04-12 11:55
金門,KINMEN,0.081,2015-04-12 11:55
蘭嶼,LANYU,0.041,2015-04-12 11:55
台南,TAINAN,0.061,2015-04-12 11:50
龍門,LUNGMEN,0.053,2015-04-12 11:55
雙溪,SHUANGSI,0.061,2015-04-12 11:55
三港,SANGANG,0.065,2015-04-12 11:50
新竹,HSINCHU,0.052,2015-04-12 11:50
花蓮,HUALINE,0.047,2015-04-12 11:55
澎湖,PENGHU,0.051,2015-04-12 11:50
馬祖,MATZU,0.052,2015-04-12 11:55
滿州,MANJHOU,0.052,2015-04-12 11:50
板橋,BANCIAO,0.066,2015-04-12 11:50
屏東市,PINGTONG,0.049,2015-04-11 04:30
基隆,KEELUNG,0.059,2015-04-12 11:50
頭城,TOUCHENG,0.048,2015-04-12 11:50
竹北,JHUBEI,0.050,2015-04-12 11:50
苗栗,MIAOLI,0.045,2015-04-12 11:50
南投,NANTOU,0.048,2015-04-12 11:50
彰化,CHANGHUA,0.069,2015-04-12 11:50
雲林,YUNLIN,0.061,2015-04-12 11:50
嘉義,CHIAYI,0.046,2015-04-12 11:50
