監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.055,2015-01-02 13:05
三芝,SHANGI,0.064,2015-01-02 13:00
石崩山,SHIHBENGSHAN,0.067,2015-01-02 13:05
茂林,MAOLIN,0.050,2015-01-02 13:05
金山,CHINSHAN,0.048,2015-01-02 13:05
野柳,YEHLIU,0.054,2015-01-02 13:05
大鵬,TAPERNG,0.066,2015-01-02 13:00
陽明山,YANGMINSHAN,0.060,2015-01-02 13:05
大坪,TAPING,0.061,2015-01-02 13:00
萬里,WANLI,0.071,2015-01-02 13:05
台北,TAIPEI,0.056,2015-01-02 13:00
宜蘭,ILAN,0.061,2015-01-02 13:00
龍潭,LUNGTAN,0.053,2015-01-02 13:00
台中,TAICHUNG,0.071,2015-01-02 13:00
台東,TAITUNG,0.058,2015-01-02 13:00
高雄,KAOHSIUNG,0.064,2015-01-02 13:05
恆春,HENGCHUN,0.069,2015-01-02 13:05
龍泉,LUNGCHUAN,0.056,2015-01-02 13:05
大光,TAKUANG,0.051,2015-01-02 13:00
墾丁,KENTING,0.054,2015-01-02 13:00
後壁湖,HOUBIHU,0.055,2015-01-02 13:05
澳底,AODI,0.052,2015-01-02 13:05
貢寮,GONGLIAO,0.050,2015-01-02 13:05
阿里山,ALISHAN,0.097,2015-01-02 13:05
金門,KINMEN,0.080,2015-01-02 13:05
蘭嶼,LANYU,0.041,2015-01-02 13:05
台南,TAINAN,0.063,2015-01-02 13:00
龍門,LUNGMEN,0.051,2015-01-02 13:05
雙溪,SHUANGSI,0.064,2015-01-02 13:05
三港,SANGANG,0.066,2015-01-02 13:00
新竹,HSINCHU,0.051,2015-01-02 13:05
花蓮,HUALINE,0.057,2015-01-02 13:05
澎湖,PENGHU,0.052,2015-01-02 13:05
馬祖,MATZU,0.054,2015-01-02 13:05
滿州,MANJHOU,0.048,2015-01-02 13:05
板橋,BANCIAO,0.070,2015-01-02 13:00
屏東市,PINGTONG,0.048,2015-01-02 13:00
基隆,KEELUNG,0.054,2015-01-02 13:00
頭城,TOUCHENG,0.049,2015-01-02 13:05
竹北,JHUBEI,0.047,2015-01-02 13:05
苗栗,MIAOLI,0.044,2015-01-02 13:05
南投,NANTOU,0.051,2015-01-02 13:00
彰化,CHANGHUA,0.064,2015-01-02 13:00
雲林,YUNLIN,0.054,2015-01-02 13:05
嘉義,CHIAYI,0.049,2015-01-02 13:00
